date,Holiday,Standard,Summer,Rainfall depth (mm),Air temperature (°C),Air humidity (%),Windspeed (km/h),DMA_E
2021/1/1 00:00,1,0,0,0,7.2,79,9,66.32427254
2021/1/1 01:00,1,0,0,0,7.3,79,6,61.79874739
2021/1/1 02:00,1,0,0,0,7.6,78,4,55.92616633
2021/1/1 03:00,1,0,0,0,8.2,75,4,51.63547562
2021/1/1 04:00,1,0,0,0,7.7,77,7,51.25531668
2021/1/1 05:00,1,0,0,0.1,7.5,81,8,55.72110016
2021/1/1 06:00,1,0,0,0,7.6,82,8,64.27051657
2021/1/1 07:00,1,0,0,0,7.6,84,9,74.88799818
2021/1/1 08:00,1,0,0,0.5,7.2,91,9,85.2103752
2021/1/1 09:00,1,0,0,0,8,86,9,93.35734629
2021/1/1 10:00,1,0,0,0.3,8,88,10,98.30481255
2021/1/1 11:00,1,0,0,0,8.8,87,8,99.80822214
2021/1/1 12:00,1,0,0,0,9.4,82,5,98.1773967
2021/1/1 13:00,1,0,0,0,10.3,77,6,94.17783833
2021/1/1 14:00,1,0,0,0.1,10,80,7,89.04859001
2021/1/1 15:00,1,0,0,0.5,10.1,80,8,84.37654808
2021/1/1 16:00,1,0,0,0.7,9.8,84,7,82.73
2021/1/1 17:00,1,0,0,0,10.2,85,7,81.45
2021/1/1 18:00,1,0,0,0,10.8,81,8,80.66
2021/1/1 19:00,1,0,0,0,10.6,75,12,83.85
2021/1/1 20:00,1,0,0,0.4,9.7,85,10,85.88
2021/1/1 21:00,1,0,0,0.1,9.7,84,8,79.68
2021/1/1 22:00,1,0,0,0,10.5,77,8,73.17
2021/1/1 23:00,1,0,0,0,10.6,80,14,68.37
2021/1/2 00:00,1,0,0,0,10.7,79,12,63.15
2021/1/2 01:00,1,0,0,0,10.8,79,10,58.53
2021/1/2 02:00,1,0,0,0,10.8,78,10,54.75
2021/1/2 03:00,1,0,0,0,11.1,73,15,54.35
2021/1/2 04:00,1,0,0,0.2,10.2,78,15,54.24
2021/1/2 05:00,1,0,0,0,10.3,77,14,55.12
2021/1/2 06:00,1,0,0,0,10.5,73,18,59.16
2021/1/2 07:00,1,0,0,0,10.6,73,18,67.11
2021/1/2 08:00,1,0,0,0,9.9,74,26,81.16
2021/1/2 09:00,1,0,0,0,10.5,74,24,95.97
2021/1/2 10:00,1,0,0,0,10.8,70,27,105.06
2021/1/2 11:00,1,0,0,0,11.1,67,23,103.48
2021/1/2 12:00,1,0,0,0,11.6,70,25,101.15
2021/1/2 13:00,1,0,0,0.1,10.6,75,26,97.19
2021/1/2 14:00,1,0,0,0.1,9.8,75,28,89.36
2021/1/2 15:00,1,0,0,1.2,9.2,81,31,83.81
2021/1/2 16:00,1,0,0,1.7,10.7,78,17,83.01
2021/1/2 17:00,1,0,0,3,9.7,81,14,82.11
2021/1/2 18:00,1,0,0,4.1,9.9,82,21,83.91
2021/1/2 19:00,1,0,0,3.6,9.2,84,23,86.15
2021/1/2 20:00,1,0,0,3.9,9.8,79,21,86.62
2021/1/2 21:00,1,0,0,0,10.1,77,15,80.58
2021/1/2 22:00,1,0,0,0.2,10.2,76,22,72.94
2021/1/2 23:00,1,0,0,0,9.9,73,17,69.51
2021/1/3 00:00,1,0,0,0.5,9.7,78,15,63.92
2021/1/3 01:00,1,0,0,0,9.4,76,17,57.71
2021/1/3 02:00,1,0,0,0,9.6,74,17,55.47
2021/1/3 03:00,1,0,0,0,10,74,12,53.83
2021/1/3 04:00,1,0,0,0,10,75,10,53.97
2021/1/3 05:00,1,0,0,0,10.1,76,8,55.76
2021/1/3 06:00,1,0,0,0,10.2,75,9,58.07
2021/1/3 07:00,1,0,0,0,9.6,76,10,66.45
2021/1/3 08:00,1,0,0,0,9.2,78,9,82.35
2021/1/3 09:00,1,0,0,0,10,72,12,102.3
2021/1/3 10:00,1,0,0,0,10.3,71,9,109.06
2021/1/3 11:00,1,0,0,0,10.7,68,9,106.17
2021/1/3 12:00,1,0,0,0,11.1,68,9,103.93
2021/1/3 13:00,1,0,0,0,12.1,65,5,98.9
2021/1/3 14:00,1,0,0,0,11.5,71,8,91.47
2021/1/3 15:00,1,0,0,0,11.3,73,9,85.02
2021/1/3 16:00,1,0,0,0.1,10.4,75,12,82.99
2021/1/3 17:00,1,0,0,0,9.9,74,16,84.27
2021/1/3 18:00,1,0,0,0,9.5,81,11,86.69
2021/1/3 19:00,1,0,0,0,9.3,74,10,88.71
2021/1/3 20:00,1,0,0,0,9.3,73,9,89.56
2021/1/3 21:00,1,0,0,0,8.9,73,6,81.3
2021/1/3 22:00,1,0,0,0,8.6,76,7,74.51
2021/1/3 23:00,1,0,0,0,8,74,6,69.74
2021/1/4 00:00,1,0,0,0,7.9,71,14,62.71
2021/1/4 01:00,1,0,0,0,8.1,70,15,57.62
2021/1/4 02:00,1,0,0,0,7.9,71,12,55.04
2021/1/4 03:00,1,0,0,0,7.9,71,19,53.98
2021/1/4 04:00,1,0,0,0,8.2,70,19,54.54
2021/1/4 05:00,1,0,0,0,8.4,69,13,56.64
2021/1/4 06:00,1,0,0,0,8.2,71,8,65.96
2021/1/4 07:00,1,0,0,0,8.2,71,9,83.2
2021/1/4 08:00,1,0,0,0,8.3,72,6,96.01
2021/1/4 09:00,1,0,0,0,7.9,75,7,97.67
2021/1/4 10:00,1,0,0,0.1,7,80,8,94.78
2021/1/4 11:00,1,0,0,0.3,6.7,79,12,92.02
2021/1/4 12:00,1,0,0,0,7.7,78,11,89.48
2021/1/4 13:00,1,0,0,0,7.9,76,9,91.21
2021/1/4 14:00,1,0,0,0,8.2,76,9,87.67
2021/1/4 15:00,1,0,0,0,8.7,74,9,83.48
2021/1/4 16:00,1,0,0,0,8.9,73,3,80.79
